Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,capsule_14_fragmented,capsule_15a_fragmented,capsule_15b_fragmented,capsule_15c_fragmented,capsule_15f_fragmented
group_59,,[gene=wchX] [locus_tag=SPC15C_0017] [db_xref=GOA:Q6X850InterPro:IPR007554UniProtKB/TrEMBL:Q6X850][protein=putative glycerol phosphotransferase] [protein_id=CAI33395.1][location=14002..15150] [gbkey=CDS],1,1,1.0,49,1,,,,696,696,696.0,,,,FIBLKPLC_00015,
group_58,,[gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851InterPro:IPR002656UniProtKB/TrEMBL:Q6X851][protein=putative acetyl transferase] [protein_id=CAI33371.1][location=13021..13998] [gbkey=CDS],1,1,1.0,48,3,,,,462,462,462.0,,,,FIBLKPLC_00013,
group_57,,[gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851InterPro:IPR002656UniProtKB/TrEMBL:Q6X851][protein=putative acetyl transferase] [protein_id=CAI33371.1][location=13021..13998] [gbkey=CDS],1,1,1.0,48,2,,,,477,477,477.0,,,,FIBLKPLC_00014,
group_56,,[gene=wzx] [locus_tag=SPC15C_0015] [db_xref=GOA:Q6X852InterPro:IPR002797UniProtKB/TrEMBL:Q6X852][protein=flippase Wzx] [protein_id=CAI33393.1] [location=11192..12655][gbkey=CDS],1,1,1.0,48,1,,,,1428,1428,1428.0,,,,FIBLKPLC_00012,
group_55,,[gene=wchN] [locus_tag=SPC15C_0014] [db_xref=GOA:Q6X853InterPro:IPR008441UniProtKB/TrEMBL:Q6X853][protein=putative glycosyl transferase] [protein_id=CAI33392.1][location=10279..11187] [gbkey=CDS],1,1,1.0,47,1,,,,858,858,858.0,,,,FIBLKPLC_00011,
group_54,,hypothetical protein,1,1,1.0,46,2,,,,189,189,189.0,,,,FIBLKPLC_00009,
group_53,,[gene=wchK] [locus_tag=SPC15C_0010] [db_xref=GOA:Q4K1M1InterPro:IPR007235UniProtKB/TrEMBL:Q4K1M1][protein=putative glycosyl transferase] [protein_id=CAI33388.1][location=6612..7115] [gbkey=CDS],1,1,1.0,46,1,,,,273,273,273.0,,,,FIBLKPLC_00008,
group_52,,[gene=wchJ] [locus_tag=SPC15C_0009] [db_xref=GOA:Q4K1M2InterPro:IPR013969UniProtKB/TrEMBL:Q4K1M2][protein=putative glycosyl transferase enhancer] [protein_id=CAI33387.1][location=6163..6612] [gbkey=CDS],1,1,1.0,45,1,,,,405,405,405.0,,,,FIBLKPLC_00007,
group_51,,[gene=wchA] [locus_tag=SPC15C_0008] [db_xref=GOA:Q4K1M3InterPro:IPR003362InterPro:IPR017475UniProtKB/TrEMBL:Q4K1M3][protein=undecaprenylphosphate glucosephosphotransferase WchA (initial sugar transferase)] [protein_id=CAI33386.1][location=4792..6159] [gbkey=CDS],1,1,1.0,44,1,,,,510,510,510.0,,,,FIBLKPLC_00006,
group_50,,[gene=wze] [locus_tag=SPC15C_0007] [db_xref=GOA:Q4K1M4InterPro:IPR002586InterPro:IPR005702UniProtKB/TrEMBL:Q4K1M4][protein=tyrosine-protein kinase Wze][protein_id=CAI33385.1] [location=4093..4776] [gbkey=CDS],1,1,1.0,43,1,,,,615,615,615.0,,,,FIBLKPLC_00005,
group_49,,[gene=wzd] [locus_tag=SPC15C_0006] [db_xref=GOA:Q4K1M5InterPro:IPR003856InterPro:IPR005701UniProtKB/TrEMBL:Q4K1M5][protein=capsular polysaccharide biosynthesis protein Wzd] [protein_id=CAI33384.1] [location=3391..4083][gbkey=CDS],1,1,1.0,42,1,,,,372,372,372.0,,,,FIBLKPLC_00004,
group_48,,[gene=wzh] [locus_tag=SPC15B_0005] [db_xref=GOA:Q4K1P5InterPro:IPR004013InterPro:IPR016667UniProtKB/TrEMBL:Q4K1P5][protein=protein-tyrosine phosphatase Wzh] [protein_id=CAI33360.1] [location=2651..3382] [gbkey=CDS],1,1,1.0,41,1,,,,195,195,195.0,,,,FIBLKPLC_00003,
group_47,,[gene=wzg] [locus_tag=SPC15C_0004] [db_xref=GOA:Q4K1M7InterPro:IPR004190InterPro:IPR004474UniProtKB/TrEMBL:Q4K1M7][protein=integral membrane regulatory protein Wzg] [protein_id=CAI33382.1] [location=1204..2649][gbkey=CDS],1,1,1.0,40,1,,,,1299,1299,1299.0,,,,FIBLKPLC_00002,
group_44,,[gene=gtp2] [locus_tag=SPC15C_0019] [db_xref=GOA:Q6X848InterPro:IPR005835UniProtKB/TrEMBL:Q6X848][protein=putative nucleotidyl transferase] [protein_id=CAI33397.1][location=16230..16934] [gbkey=CDS],1,1,1.0,38,1,,,,294,294,294.0,,,IBOCOPLE_00013,,
group_43,,[gene=gtp1] [locus_tag=SPC15C_0018] [db_xref=GOA:Q6X849InterPro:IPR002658InterPro:IPR016205UniProtKB/TrEMBL:Q6X849][protein=putative glycerol-2-phosphate dehydrogenase] [protein_id=CAI33396.1] [location=15186..16214][gbkey=CDS],1,1,1.0,37,1,,,,426,426,426.0,,,IBOCOPLE_00012,,
group_42,,[gene=wchX] [locus_tag=SPC15F_0017] [db_xref=GOA:Q4K1J6InterPro:IPR007554UniProtKB/TrEMBL:Q4K1J6][protein=putative glycerol phosphotransferase] [protein_id=CAI33418.1][location=14385..15533] [gbkey=CDS],1,1,1.0,36,1,,,,258,258,258.0,,,IBOCOPLE_00011,,
group_41,,[gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851InterPro:IPR002656UniProtKB/TrEMBL:Q6X851][protein=putative acetyl transferase] [protein_id=CAI33371.1][location=13021..13998] [gbkey=CDS],1,1,1.0,35,1,,,,684,684,684.0,,,IBOCOPLE_00010,,
group_40,,hypothetical protein,1,1,1.0,34,1,,,,177,177,177.0,,,IBOCOPLE_00009,,
group_39,,[gene=wzy] [locus_tag=SPC15C_0011] [db_xref=UniProtKB/TrEMBL:Q4K1M0] [protein=oligosaccharide repeat unit polymerase Wzy] [protein_id=CAI33389.1] [location=7105..8277][gbkey=CDS],1,1,1.0,33,1,,,,1098,1098,1098.0,,,IBOCOPLE_00008,,
group_38,,[gene=wchK] [locus_tag=SPC15C_0010] [db_xref=GOA:Q4K1M1InterPro:IPR007235UniProtKB/TrEMBL:Q4K1M1][protein=putative glycosyl transferase] [protein_id=CAI33388.1][location=6612..7115] [gbkey=CDS],1,1,1.0,32,1,,,,495,495,495.0,,,IBOCOPLE_00007,,
group_37,,[gene=wchA] [locus_tag=SPC15C_0008] [db_xref=GOA:Q4K1M3InterPro:IPR003362InterPro:IPR017475UniProtKB/TrEMBL:Q4K1M3][protein=undecaprenylphosphate glucosephosphotransferase WchA (initial sugar transferase)] [protein_id=CAI33386.1][location=4792..6159] [gbkey=CDS],1,1,1.0,31,1,,,,252,252,252.0,,,IBOCOPLE_00006,,
group_36,,[gene=wzd] [locus_tag=SPC15C_0006] [db_xref=GOA:Q4K1M5InterPro:IPR003856InterPro:IPR005701UniProtKB/TrEMBL:Q4K1M5][protein=capsular polysaccharide biosynthesis protein Wzd] [protein_id=CAI33384.1] [location=3391..4083][gbkey=CDS],1,1,1.0,30,1,,,,612,612,612.0,,,IBOCOPLE_00005,,
group_35,,[gene=wzh] [locus_tag=SPC15B_0005] [db_xref=GOA:Q4K1P5InterPro:IPR004013InterPro:IPR016667UniProtKB/TrEMBL:Q4K1P5][protein=protein-tyrosine phosphatase Wzh] [protein_id=CAI33360.1] [location=2651..3382] [gbkey=CDS],1,1,1.0,29,1,,,,657,657,657.0,,,IBOCOPLE_00004,,
group_32,,IS5 family transposase ISSpn7,1,1,1.0,27,2,,,,390,390,390.0,,KHAAIJFI_00018,,,
group_31,,[gene=gtp3] [locus_tag=SPC15F_0020] [db_xref=GOA:Q4K1N0InterPro:IPR005834InterPro:IPR006357UniProtKB/TrEMBL:Q4K1N0][protein=putative phosphotransferase][protein_id=CAI33421.1] [location=17332..18165] [gbkey=CDS],1,1,1.0,27,1,,,,138,138,138.0,,KHAAIJFI_00017,,,
group_30,,hypothetical protein,1,1,1.0,26,1,,,,219,219,219.0,,KHAAIJFI_00016,,,
group_29,,[gene=gtp1] [locus_tag=SPC15A_0018] [db_xref=GOA:Q4K1Q1InterPro:IPR002658InterPro:IPR016205UniProtKB/TrEMBL:Q4K1Q1][protein=putative glycerol-2-phosphate dehydrogenase] [protein_id=CAI33350.1] [location=15077..16105][gbkey=CDS],1,1,1.0,25,1,,,,912,912,912.0,,KHAAIJFI_00015,,,
group_28,,[gene=wchX] [locus_tag=SPC15A_0017] [db_xref=GOA:Q4K1Q2InterPro:IPR007554UniProtKB/TrEMBL:Q4K1Q2][protein=putative glycerol phosphotransferase] [protein_id=CAI33349.1][location=13893..15041] [gbkey=CDS],1,1,1.0,24,1,,,,324,324,324.0,,KHAAIJFI_00014,,,
group_27,,[gene=wzx] [locus_tag=SPC15F_0015] [db_xref=GOA:Q4K1J8InterPro:IPR002797UniProtKB/TrEMBL:Q4K1J8][protein=flippase Wzx] [protein_id=CAI33416.1] [location=11587..13050][gbkey=CDS],1,1,1.0,23,3,,,,588,588,588.0,,KHAAIJFI_00011,,,
group_26,,[gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851InterPro:IPR002656UniProtKB/TrEMBL:Q6X851][protein=putative acetyl transferase] [protein_id=CAI33371.1][location=13021..13998] [gbkey=CDS],1,1,1.0,23,2,,,,246,246,246.0,,KHAAIJFI_00012,,,
group_25,,[gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851InterPro:IPR002656UniProtKB/TrEMBL:Q6X851][protein=putative acetyl transferase] [protein_id=CAI33371.1][location=13021..13998] [gbkey=CDS],1,1,1.0,23,1,,,,501,501,501.0,,KHAAIJFI_00013,,,
group_23,,[gene=wchL] [locus_tag=SPC15F_0012] [db_xref=GOA:Q4K1K1InterPro:IPR001173UniProtKB/TrEMBL:Q4K1K1][protein=putative glycosyl transferase] [protein_id=CAI33413.1][location=8666..9694] [gbkey=CDS],1,1,1.0,21,1,,,,501,501,501.0,,KHAAIJFI_00009,,,
group_22,,[gene=wchK] [locus_tag=SPC15F_0010] [db_xref=GOA:Q4K1K3InterPro:IPR007235UniProtKB/TrEMBL:Q4K1K3][protein=putative glycosyl transferase] [protein_id=CAI33411.1][location=6966..7472] [gbkey=CDS],1,1,1.0,20,1,,,,210,210,210.0,,KHAAIJFI_00008,,,
group_20,,[gene=wchA] [locus_tag=SPC15F_0008] [db_xref=GOA:Q4K1K5InterPro:IPR003362InterPro:IPR017475UniProtKB/TrEMBL:Q4K1K5][protein=undecaprenylphosphate glucosephosphotransferase WchA (initial sugar transferase)] [protein_id=CAI33409.1][location=5146..6513] [gbkey=CDS],1,1,1.0,18,1,,,,420,420,420.0,,KHAAIJFI_00006,,,
group_19,,[gene=wze] [locus_tag=SPC15F_0007] [db_xref=GOA:Q4K1K6InterPro:IPR002586InterPro:IPR005702UniProtKB/TrEMBL:Q4K1K6][protein=tyrosine-protein kinase Wze][protein_id=CAI33408.1] [location=4442..5131] [gbkey=CDS],1,1,1.0,17,1,,,,564,564,564.0,,KHAAIJFI_00005,,,
group_18,,[gene=wzd] [locus_tag=SPC15F_0006] [db_xref=GOA:Q4K1K7InterPro:IPR003856InterPro:IPR005701UniProtKB/TrEMBL:Q4K1K7][protein=capsular polysaccharide biosynthesis protein Wzd] [protein_id=CAI33407.1] [location=3740..4432][gbkey=CDS],1,1,1.0,16,1,,,,399,399,399.0,,KHAAIJFI_00004,,,
group_17,,[gene=wzh] [locus_tag=SPC15A_0005] [db_xref=GOA:Q4K1R3InterPro:IPR004013InterPro:IPR016667UniProtKB/TrEMBL:Q4K1R3][protein=protein-tyrosine phosphatase Wzh] [protein_id=CAI33337.1] [location=2649..3380] [gbkey=CDS],1,1,1.0,15,1,,,,516,516,516.0,,KHAAIJFI_00003,,,
group_16,,[gene=wzg] [locus_tag=SPC15A_0004] [db_xref=GOA:Q4K1R4InterPro:IPR004190InterPro:IPR004474UniProtKB/TrEMBL:Q4K1R4][protein=integral membrane regulatory protein Wzg] [protein_id=CAI33336.1] [location=1202..2647][gbkey=CDS],1,1,1.0,14,1,,,,210,210,210.0,,KHAAIJFI_00002,,,
group_15,,hypothetical protein,1,1,1.0,13,1,,,,363,363,363.0,,KHAAIJFI_00001,,,
group_14,,ISL3 family transposase IS1167,1,1,1.0,12,3,,,,519,519,519.0,GAIOKLBP_00015,,,,
group_13,,[gene=lrp] [locus_tag=SPC14_0017] [db_xref=GOA:Q4K1R7InterPro:IPR001899InterPro:IPR019931InterPro:IPR019948UniProtKB/TrEMBL:Q4K1R7][protein=putative surface anchored protein] [protein_id=CAI33330.1] [location=14075..18154][gbkey=CDS],1,1,1.0,12,2,,,,633,633,633.0,GAIOKLBP_00013,,,,
group_12,,ISL3 family transposase ISSpn14,1,1,1.0,12,1,,,,528,528,528.0,GAIOKLBP_00014,,,,
group_11,,hypothetical protein,1,1,1.0,11,2,,,,387,387,387.0,GAIOKLBP_00012,,,,
group_10,,[gene=wciY] [locus_tag=SPC14_0016] [db_xref=GOA:O07343InterPro:IPR007554UniProtKB/TrEMBL:O07343][protein=putative glycerol phosphotransferase] [protein_id=CAI33329.1][location=12636..13715] [gbkey=CDS],1,1,1.0,11,1,,,,420,420,420.0,GAIOKLBP_00011,,,,
group_9,,[gene=wzx] [locus_tag=SPC14_0015] [db_xref=GOA:O07342InterPro:IPR002797UniProtKB/TrEMBL:O07342][protein=flippase Wzx] [protein_id=CAI33328.1] [location=11189..12652][gbkey=CDS],1,1,1.0,10,1,,,,1002,1002,1002.0,GAIOKLBP_00010,,,,
group_8,,[gene=wchN] [locus_tag=SPC14_0014] [db_xref=GOA:O07341InterPro:IPR008441UniProtKB/TrEMBL:O07341][protein=putative glycosyl transferase] [protein_id=CAI33327.1][location=10348..11196] [gbkey=CDS],1,1,1.0,9,1,,,,639,639,639.0,GAIOKLBP_00009,,,,
group_7,,[gene=wchL] [locus_tag=SPC14_0012] [db_xref=GOA:Q4K1S2InterPro:IPR001173UniProtKB/TrEMBL:Q4K1S2][protein=putative glycosyl transferase] [protein_id=CAI33325.1][location=8270..9289] [gbkey=CDS],1,1,1.0,8,1,,,,825,825,825.0,GAIOKLBP_00008,,,,
group_6,,[gene=wzy] [locus_tag=SPC14_0011] [db_xref=UniProtKB/TrEMBL:P72516] [protein=oligosaccharide repeat unit polymerase Wzy] [protein_id=CAI33324.1] [location=7101..8273][gbkey=CDS],1,1,1.0,7,1,,,,1098,1098,1098.0,GAIOKLBP_00007,,,,
group_5,,[gene=wchK] [locus_tag=SPC14_0010] [db_xref=GOA:Q4K1S4InterPro:IPR007235UniProtKB/TrEMBL:Q4K1S4][protein=putative glycosyl transferase] [protein_id=CAI33323.1][location=6608..7111] [gbkey=CDS],1,1,1.0,6,1,,,,192,192,192.0,GAIOKLBP_00006,,,,
group_4,,hypothetical protein,1,1,1.0,5,1,,,,231,231,231.0,GAIOKLBP_00005,,,,
group_3,,[gene=wzd] [locus_tag=SPC14_0006] [db_xref=GOA:Q4K1S8InterPro:IPR003856InterPro:IPR005701UniProtKB/TrEMBL:Q4K1S8][protein=capsular polysaccharide biosynthesis protein Wzd] [protein_id=CAI33319.1] [location=3387..4079][gbkey=CDS],1,1,1.0,4,1,,,,399,399,399.0,GAIOKLBP_00004,,,,
group_2,,[gene=wzh] [locus_tag=SPC14_0005] [db_xref=GOA:Q4K1S9InterPro:IPR004013InterPro:IPR016667UniProtKB/TrEMBL:Q4K1S9][protein=protein-tyrosine phosphatase Wzh] [protein_id=CAI33318.1] [location=2647..3378] [gbkey=CDS],1,1,1.0,3,1,,,,402,402,402.0,GAIOKLBP_00003,,,,
group_0,,IS630 family transposase IS630-Spn1,1,1,1.0,1,1,,,,363,363,363.0,GAIOKLBP_00001,,,,
