Gene,Non-unique Gene name,Annotation,capsule_14_original,capsule_15a_original,capsule_15b_original,capsule_15c_original,capsule_15f_original
group_17,,[gene=wze] [locus_tag=SPC14_0007] [db_xref=GOA:Q4K1S7InterPro:IPR002586InterPro:IPR005702UniProtKB/TrEMBL:Q4K1S7][protein=tyrosine-protein kinase Wze][protein_id=CAI33320.1] [location=4089..4772] [gbkey=CDS];[gene=wze] [locus_tag=SPC15F_0007] [db_xref=GOA:Q4K1K6InterPro:IPR002586InterPro:IPR005702UniProtKB/TrEMBL:Q4K1K6][protein=tyrosine-protein kinase Wze][protein_id=CAI33408.1] [location=4442..5131] [gbkey=CDS];[gene=wze] [locus_tag=SPC15C_0007] [db_xref=GOA:Q4K1M4InterPro:IPR002586InterPro:IPR005702UniProtKB/TrEMBL:Q4K1M4][protein=tyrosine-protein kinase Wze][protein_id=CAI33385.1] [location=4093..4776] [gbkey=CDS],NDPKPFJF_00005,NKOENCHL_00006,IDIIDKBK_00006,IEAEIHEH_00006,HLEPHCOM_00007
group_27,,hypothetical protein,,NKOENCHL_00001,IDIIDKBK_00001,IEAEIHEH_00001,HLEPHCOM_00001
group_25,,hypothetical protein;IS630 family transposase IS630-Spn1,NDPKPFJF_00001,NKOENCHL_00002,IDIIDKBK_00002,IEAEIHEH_00002,
group_16,,[gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851InterPro:IPR002656UniProtKB/TrEMBL:Q6X851][protein=putative acetyl transferase] [protein_id=CAI33371.1][location=13021..13998] [gbkey=CDS],,NKOENCHL_00015;NKOENCHL_00016,IDIIDKBK_00015,IEAEIHEH_00015;IEAEIHEH_00016,HLEPHCOM_00016
group_14,,[gene=gtp2] [locus_tag=SPC15F_0019] [db_xref=GOA:Q4K1J4InterPro:IPR005835UniProtKB/TrEMBL:Q4K1J4][protein=putative nucleotidyl transferase] [protein_id=CAI33420.1][location=16613..17317] [gbkey=CDS];[gene=gtp2] [locus_tag=SPC15C_0019] [db_xref=GOA:Q6X848InterPro:IPR005835UniProtKB/TrEMBL:Q6X848][protein=putative nucleotidyl transferase] [protein_id=CAI33397.1][location=16230..16934] [gbkey=CDS],,NKOENCHL_00019,IDIIDKBK_00018,IEAEIHEH_00019,HLEPHCOM_00019
group_8,,[gene=gtp3] [locus_tag=SPC15F_0020] [db_xref=GOA:Q4K1N0InterPro:IPR005834InterPro:IPR006357UniProtKB/TrEMBL:Q4K1N0][protein=putative phosphotransferase][protein_id=CAI33421.1] [location=17332..18165] [gbkey=CDS],,NKOENCHL_00020,IDIIDKBK_00019,IEAEIHEH_00020,HLEPHCOM_00020
group_5,,[gene=gtp1] [locus_tag=SPC15A_0018] [db_xref=GOA:Q4K1Q1InterPro:IPR002658InterPro:IPR016205UniProtKB/TrEMBL:Q4K1Q1][protein=putative glycerol-2-phosphate dehydrogenase] [protein_id=CAI33350.1] [location=15077..16105][gbkey=CDS],,NKOENCHL_00018,IDIIDKBK_00017,IEAEIHEH_00018,HLEPHCOM_00018
group_2,,[gene=wchX] [locus_tag=SPC15A_0017] [db_xref=GOA:Q4K1Q2InterPro:IPR007554UniProtKB/TrEMBL:Q4K1Q2][protein=putative glycerol phosphotransferase] [protein_id=CAI33349.1][location=13893..15041] [gbkey=CDS],,NKOENCHL_00017,IDIIDKBK_00016,IEAEIHEH_00017,HLEPHCOM_00017
group_24,,[gene=wzy] [locus_tag=SPC14_0011] [db_xref=UniProtKB/TrEMBL:P72516] [protein=oligosaccharide repeat unit polymerase Wzy] [protein_id=CAI33324.1] [location=7101..8273][gbkey=CDS];[gene=wzy] [locus_tag=SPC15C_0011] [db_xref=UniProtKB/TrEMBL:Q4K1M0] [protein=oligosaccharide repeat unit polymerase Wzy] [protein_id=CAI33389.1] [location=7105..8277][gbkey=CDS],NDPKPFJF_00009,,IDIIDKBK_00010,IEAEIHEH_00010,
group_15,,IS5 family transposase ISSpn7,,NKOENCHL_00021,IDIIDKBK_00020,IEAEIHEH_00021,
group_1,,[gene=wzy] [locus_tag=SPC15A_0011] [db_xref=UniProtKB/TrEMBL:Q4K1Q7] [protein=oligosaccharide repeat unit polymerase Wzy] [protein_id=CAI33343.1] [location=7114..8313][gbkey=CDS],,NKOENCHL_00010,,,HLEPHCOM_00011
group_13,,hypothetical protein,,,,,HLEPHCOM_00002
group_12,,IS630 family transposase IS630-Spn1,,,,,HLEPHCOM_00003
group_11,,ISL3 family transposase IS1167,NDPKPFJF_00017,,,,
group_10,,ISL3 family transposase ISSpn14,NDPKPFJF_00016,,,,
group_9,,[gene=rmlB] [locus_tag=SPC15F_0021] [db_xref=GOA:Q4K1J2InterPro:IPR001509InterPro:IPR016040UniProtKB/TrEMBL:Q4K1J2][protein=dTDP-D-glucose 46-dehydratase RmlB] [protein_id=CAI33422.1] [location=18441..19079][gbkey=CDS],,,,,HLEPHCOM_00021
group_7,,[gene=rmlD] [locus_tag=SPC15F_0022] [db_xref=GOA:Q4K1G6InterPro:IPR005913InterPro:IPR016040UniProtKB/TrEMBL:Q4K1G6][protein=dTDP-4-keto-L-rhamnose reductase RmlD] [protein_id=CAI33423.1] [location=19145..19996][gbkey=CDS],,,,,HLEPHCOM_00022
group_6,,[gene=wcjE] [locus_tag=SPC15F_0024] [db_xref=GOA:Q4K1I9InterPro:IPR002656UniProtKB/TrEMBL:Q4K1I9][protein=putative acetyl transferase] [protein_id=CAI33425.1][location=21116..22183] [gbkey=CDS],,,,,HLEPHCOM_00024
group_4,,[gene=wciY] [locus_tag=SPC14_0016] [db_xref=GOA:O07343InterPro:IPR007554UniProtKB/TrEMBL:O07343][protein=putative glycerol phosphotransferase] [protein_id=CAI33329.1][location=12636..13715] [gbkey=CDS],NDPKPFJF_00014,,,,
group_3,,[gene=glf] [locus_tag=SPC15F_0023] [db_xref=GOA:Q4JZV2InterPro:IPR004379InterPro:IPR006076InterPro:IPR015899InterPro:IPR016040UniProtKB/TrEMBL:Q4JZV2][protein=UDP-galactopyranose mutase Glf] [protein_id=CAI33424.1][location=20059..21168] [gbkey=CDS],,,,,HLEPHCOM_00023
group_0,,[gene=lrp] [locus_tag=SPC14_0017] [db_xref=GOA:Q4K1R7InterPro:IPR001899InterPro:IPR019931InterPro:IPR019948UniProtKB/TrEMBL:Q4K1R7][protein=putative surface anchored protein] [protein_id=CAI33330.1] [location=14075..18154][gbkey=CDS],NDPKPFJF_00015,,,,
